요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차 아이스크림,"설탕 50g, 노른자 2개, 우유 80g, 생크림 120g, 녹차분말 2큰술",찬물 1큰술,① 설탕과 달걀 노른자를 넣고 아이보리색이 될 때까지 섞어준다. ② 우유를 냄비에 넣고 불에 올려 끓지 않도록 데워서 준비하여 노른자 휘핑한 데에 부으면서 섞어준다. ③ 생크림은 다른 볼에다가 걸쭉해질 정도로 휘핑해서 준비한 다음 ②에 나눠 넣고 주걱으로 섞어준다. ④ 찬물에 녹차를 덩어리 없이 녹인 다음 ③에 넣고 주걱으로 잘 섞어준다. ⑤ 뚜껑을 덮어서 냉동실에 3시간 넣어둔다. ⑥ 3시간 후에 필립스 핸드 블렌더를 이용해서 골고루 저어준다. ⑦ 그 후엔 1시간 단위로 2~4회 정도 얼리고 섞고를 반복한다. 많이할수록 아이스크림이 더 부드러워진다. ⑧ 마지막으로 섞고 1~2시간 얼려준다.,,2022-10-30
녹차 아이스크림,"우유 300g, 설탕 50g, 물엿 40g, 우유 100g, 전분 1Ts, 녹차가루 1.5Ts, 소금 약간, 생크림 200g",,"① 우유를 냄비에 넣고 설탕을 넣어준다. ② 물엿도 넣어준다. 설탕과 물엿을 넣은 우유를 중불에 올려 살짝 데워준다. ③ 컵에 우유 100g을 담고 전분을 넣어준다. 전분을 넣어 매끄러운 감촉의 아이스크림을 만들 수 있다. ④ 녹차가루도 넣어준다. 좀더 진한색이나 진한맛을 원하면 더 넣어준다. 가루류를 우유에 넣은 후에 뭉치는 것이 없도록 가루류와 우유를 잘 풀어 섞어준다. ⑤ 데운 우유에 녹차가루 섞은 우유를 넣고 다시 중불에서 10분 정도 끓여 약간 걸쭉하게 만들어준다. 주걱으로 젓다가 주걱에 묻은 재료를 손가락으로 그어보았을 때 그 자국이 남아있을 정도로 걸쭉하게 되면, 불에서 내려 얼음물에 받쳐 냉장고에 넣어 차갑게 식혀준다. ⑥ 녹차우유가 차갑게 식으면 생크림을 70~80% 휘핑해준다. 생크림의 상태가 차가워야 거품이 잘 올라온다. ⑦ 녹차반죽에 거품올린 생크림을 넣고 거품기나 주걱을 이용해 잘 섞어준다. ⑧ 적당한 통에 담고 냉동실에 얼려준다. ⑨ 냉동실에서 얼리면서 처음에는 2~3시간동안 얼리고 포크로 한번 섞어주고, 그 후에는 1시간마다 한번씩 꺼내 포크로 섞어준다. 대략 3~4번정도 이 과정을 반복해준다. 냉동실에 완전히 얼리면 아이스크림 된다.",6인분 기준 2시간 이상 소요,2022-10-30
녹차 야쿠르트 스콘,"박력분 60g, 베이킹파우더 1.5티스푼, 녹차가루 2숟가락, 버터 60g, 계란 1개, 야쿠르트 40g, 설탕 50g, 건포도 50g [계란물] 노른자 1개, 물 1숟가락",,"① 큰 볼 안에 박력분 , 베이킹파우더, 녹차가루를 체 쳐서 넣어준다. (살살 섞어준다.) 차가운 버터를 작게 썰어 가루 위에 올려준다. 주걱으로 버터를 살살 쪼개면서, 옆에 가루와 부벼준다. ② 작은 그릇 안에 계란과 설탕, 야쿠르트를 넣고 설탕이 녹도록 골고루 섞어준다. ③ 만들어준 계란물은 가루 위에 부어준다. 조금씩 넣어가면서 주걱을 수직으로 세워 반죽을 십자가로 긋듯이 저어준다. 한덩어리로 만들어준다. 수분이 부족하다면, 계란물을 조금 더 부어준다. ④ 한덩어리가 만들어진다 싶을 때, 건포도를 넣고 살짝 뭉쳐서 한덩어리를 잡아준다. (반죽이 질다면 박력분을 살짝 체 쳐서 조금 넣어주고, 너무 되직하다면 계란물 조금 더 첨가한다.) ⑤ 한덩어리가 뭉쳤으면, 비닐이나 랩에 싸서 냉장고에 약 30분간 넣어둔다. 냉장고에 들어가기 전에 반죽은 밀어서 2단 접기한 후 겹쳐서 보관해둔다. ⑥ 냉장 휴지시킨 반죽은 덧밀가루를 살짝 뿌린 도마 위에 올려 직사각형으로 모양을 잡아준다. 밀대로 밀면서 두께는 약 2~3cm 되게 모양틀로 찍거나, 칼로 6등분해서 썰어준다. 넓은 팬 위에 반죽을 올려준다. 간격은 충분히 띄우고, 반죽 위에 계란물을 발라준다.(계란물 만드는 법: 노른자 1개 + 물 한숟가락, 계란물은 되도록이면 한번에 발라준다.) ⑦ 예열된 오븐 180℃에서 20~25분간 구워준다.",6인분 기준 90분 이내 완성,2022-10-30
녹차 오레오 머랭 쿠키,"계란흰자 120g, 녹차가루 5g, 설탕 60g, 오레오 5개",,"① 계란 흰자에 설탕을 나눠 넣어가며 머랭을 만들어준다. ② 머랭의 ½을 덜어내어 녹차가루를 넣고 섞어준다. ③ 완성된 머랭은 짤 주머니에 담아 준비해준다. ④ 오레오는 속에 크림을 제거한 뒤, 곱게 부숴준다. ⑤ 머랭을 짜준 뒤, 부숴두었던 오레오를 뿌려준다. ⑥ 160℃로 예열해두었던 오븐에 60분간 구워준다.",분량: 6인분 이상 조리시간: 90분 이내,2022-10-30
녹차 와플,"강력분 100g, 박력분 100g, 생크림 50ml, 우유 50ml, 달걀 1개 ","[양념] 설탕 35g, 버터 30g, 녹차가루 1큰술, 인스턴트드라이이스트 1작은술, 소금 ½작은술","① 강력분과 박력분은 체에 친 후 설탕, 소금, 녹차가루를 넣고 섞어준다. 마지막으로 인스턴트드라이이스트를 넣고 가볍게 섞어준다. ② 제빵기에 가루류를 넣고 달걀과 생크림, 우유를 넣고 반죽 코스를 작동해준다. 우유와 생크림은 실온에 둔 것을 사용해준다. ③ 5분 정도 지났을 때 제빵기를 멈춘 후 실온에 둔 버터를 넣어준다. 다시 반죽 코스를 눌러 1차 발효를 해준다. ④ 제빵기가 없다면 손으로 5분 이상 치댄 후 비닐을 덮고, 반죽 온도 28~30℃를 기준으로 40~60분 정도 1차 발효를 해준다. ⑤ 반죽을 70g씩 분할해서 둥글린 다음 표면이 마르지 않도록 면 보자기를 덮어 20분간 상온에서 발효시켜준다. ⑥ 앞뒤로 살짝 예열을 한 와플팬에 반죽을 얹고 뚜껑을 덮어준다. 앞뒤로 약 3분씩 약불에서 구워준다.",,2022-10-30
녹차 요거트 무스,"카스텔라 ½개, 생크림 170g, 요거트 100g, 설탕 30g, 젤라틴 4g, 녹차가루 4g",,"① 젤라틴은 차가운 물에 담가 불려준다. 생크림에 설탕을 넣고 휘핑해준다. 아이싱을 하기 위한 단단한 생크림보다는, 묽은 상태로 60~70% 거품을 내준다. ② 생크림에 요거트를 넣고 섞어준다. ③ 녹차가루를 체에 쳐 넣어준다. 다음으로 불려둔 젤라틴의 물기를 짜고 전자레인지에 30초 돌려 완전히 녹인 후에 무스반죽에 넣어 섞어준다. ④ 무스틀이나 수플레틀에 시판 카스테라를 넣어준다. ⑤ 만들어둔 무스를 가득 채워준다. 윗면은 스페츌러로 평평하게 정리하고 녹차가루를 조금 넣어준다. 냉동고나 냉장실에서 2~3시간 굳혀준다. ⑥ 위에 아라잔을 올려주고, 애플민트를 하나 꽂아준다.",6인분 기준 2시간 이상 소요,2022-10-30
녹차 요구르트 머핀,"무염버터 150g, 설탕 120g, 달걀 2개, 바닐라에센스 1ts, 박력분 200g, 베이킹파우더 2ts, 요구르트 150ml, 녹차가루 2Ts",,① 실온에 두어 말랑말랑해진 버터는 핸드믹서기로 풀어준다. 설탕은 한꺼번에 넣지 말고 조금씩 조금씩 넣어 가면서 핸드믹서기로 믹싱해준다. ② 풀어놓은 달걀도 조금씩 넣어 가면서 핸드믹서로 잘 섞어준다. 달걀을 한꺼번에 넣으면 버터와 분리될 수 있으니 꼭 조금씩 넣고 섞어준다. ③ 달걀을 넣을 때 바닐라에센스도 넣고 섞어준다. ④ 미리 체에 쳐둔 박력분과 베이킹파우더를 넣고 고무주걱으로 가볍게 섞어준다. ⑤ 요구르트를 넣고 고루 잘 섞어준다. ⑥ 반죽의 ⅓ 정도를 덜어내어 녹차가루를 넣고 잘 섞어준다. ⑦ 머핀 유산지에 흰반죽을 넣고 녹차반죽은 1큰술씩 넣고 젓가락 등을 이용해서 가볍게 섞어준다. ⑧ 170℃ 예열된 오븐에서 약 25분 정도 구워준다.,,2022-10-30
녹차 전병,"밀가루중력분 200g, 녹차가루 ½Ts, 물 160ml","당근 ⅓개, 애호박 ⅓개, 표고버섯 1~2개, 달걀 1개, 치즈 1장, 양파 20g, 식용유 약간, 소금 약간","① 중력분 100g, 녹차가루 ½Ts, 물 80ml, 소금 한꼬집을 잘 섞어준다. ② 약불/프라이팬에 식용유를 (½Ts)살짝만 두르고, 밥 스푼으로 두 스푼 정도 떠서 프라이팬 중앙에 붓고 숟가락으로 가운데에서 가장자리를 향해 원을 그리며 원하는 크기만큼 넓혀준다. ③ 반투명한색으로 변하면 가운데에 젓가락을 바닥으로 넣어서 뒤집어준다. ④ 뒤집은 후 30초 후에 건져준다. ⑤ 도마 위에 밀전병을 깔고 볶은 채소를 가운데에 가지런히 얹어준다. ⑥ 돌돌 말아서 가장자리에 물을 살짝 발라서 오므려준 후에 반씩 어슷썰기한다.",겨자소스나 초간장에 찍어 먹으면 별미다.,2022-10-30
녹차 찐빵,"박력분 420g, 따뜻한물 200g, 버터 20g, 설탕 35g, 드라이이스트 12g, 베이킹파우더 4g, 소금 4g, 녹차가루 1작은술","팥앙금 400g, 호두 40g","① 볼에 미지근한 물을 담고, 박력분과 설탕, 소금, 베이킹파우더, 이스트, 녹차가루를 모두 계량해서 담아준다. 반죽을 해준다. ② 반죽을 하는 동안 팥앙금을 준비해준다. 호두를 잘게 다져 앙금에 넣고 섞어준다. ③ 반죽이 한덩이로 깨끗하게 뭉쳐지면 말랑한 버터를 넣고 다시 반죽해준다. ④ 완성된 반죽은 60g씩 분할하여 동그랗게 동글려준 후 젖은 면보를 씌워 10분 동안 잠시 휴지시켜준다. ⑤ 손으로 꾹꾹 눌러서 펼치고, 속에 팥앙금을 넉넉히 넣고 반죽 밑부분을 아물려준다. ⑥ 오븐기 안에서 발효를 30분 해준다. ⑦ 찜솥에 물을 담아 팔팔 끓으면, 찐빵반죽을 올려 10분 정도 쪄준다.",,2022-10-30
녹차 찹쌀 도넛,"찹쌀가루 250g, 강력분 30g, 베이킹파우더 1큰술, 물 100ml, 올리브유 1큰술, 녹차가루 1큰술, 소금 1/4작은술, 설탕 1큰술",묻힘설탕,① 볼에 물을 제외한 모든 재료를 넣어준다. 뜨거운물을 준비하여 조금씩 부어가며 익반죽을 해준다. 그리고 여러번 치대어준다. 조그맣게 떼어서 동글동글한 모양의 도넛반죽을 만들어준다. ② 작은 사이즈의 냄비에 튀김오일을 붓고 중약불로 오일의 온도를 맞춰준다. (반죽을 넣어보아 아래에서 서서히 떠오르는 정도) ③ 알맞은 튀김온도가 맞춰졌으면 도넛반죽을 하나씩 천천히 넣어가며 튀긴다. 한꺼번에 많이 넣지 않고 조금씩 넣어주어야 온도가 변하지 않고 일정한 온도를 유지할 수 있다. 튀겨진 도넛은 키친타올에 얹어 적당히 기름을 빼준다. 플라스틱 봉지에 설탕과 도넛을 넣어 흔들어준다.,6인분 기준 30분 이내 완성,2022-10-30
녹차 초코칩 마들렌,"달걀 2개, 설탕 85g, 박력분 130g, 말차가루 10g, 베이킹파우더 7g, 초코청크 50g, 버터 110g",,"① 달걀과 설탕을 넣고 설탕의 사각거림이 들리지 않을 때 까지만 섞어준다. ② 박력분과 말차가루, 베이킹파우더를 체에 쳐서 넣고 섞어준다. ③ 30분 정도 반죽을 휴지시켜준다. ④ 버터를 끓여준다. 짙은 풍미를 원할 경우 브라운 색이 날 때까지 끓여준다. ⑤ 틀에 버터와 밀가루로 코팅해준다. ⑥ 식혀서 미지근해진 버터를 반죽에 넣고 잘 섞어준다. 초코청크가 있으면 넣고 섞어준다. ⑦ 70% 정도만 채워준 후 180℃에서 10분 구워준다. ⑧ 초콜릿이 있다면 틀에 담아준 후, 다 구워진 마들렌을 올려서 굳혀준다.",,2022-10-30
녹차 초코칩 쿠키,"박력분 100g, 포도씨유 20g, 설탕 30g, 베이킹파우더 2g, 바닐라익스트랙 1작은술, 녹차가루 5g","달걀 1개, 아몬드 1줌, 초코칩 1줌 ",① 볼에 포도씨유 20g과 설탕 30g을 넣고 섞어준다. ② 달걀 1개와 바닐라 익스트랙 1작은술을 넣고 섞어준다. ③ 미리 체 쳐 놓은 가루류를 넣고 # 모양으로 가볍게 섞어준다. ④ 섞은 반죽에 아몬드 또는 호두와 초코칩을 넣어준다. ⑤ 반죽을 숟가락으로 떠서 모양을 잡는다. 그런 다음 175℃로 예열한 오븐에서 12~15분 정도 구워준다.,3인분 기준 30분 이내 완성,2022-10-30
녹차 초콜릿 컵케이크,"박력분 140g, 베이킹파우더 6g, 다크초콜릿 85g, 달걀 3개, 우유 30g, 녹차가루 4g, 코코아파우더 4g ","[양념] 소금 2g, 버터 110g, 설탕 145g, 바닐라익스트랙 1ts [프로스팅] 실온의크림치즈 200g, 실온의버터 80g, 슈가파우더 200g, 녹차가루 1TS","① 먼저 버터를 녹여주고 초콜릿도 중탕으로 녹여준다. ② 달걀에 설탕을 넣어주고 여기에 녹여둔 버터와 바닐라익스트랙을 넣어 섞어준다. ③ 미리 체 쳐둔 가루류(박력분과 베이킹파우더, 소금)에 부어준다. ④ 반죽을 잘 섞은 다음 반으로 나누어 한쪽에는 녹차가루를 넣어 잘 섞어준다. ⑤ 나머지 반에는 초콜릿 녹인 것을 넣는데, 이 때 살짝 데운우유에 코코아가루를 섞어 함께 넣어준다. ⑥ 두 개의 반죽이 완성되면 틀에 유산지를 깔고 반죽을 조금씩 넣어준다. 이쑤시개를 이용해 저어준다. ⑦ 180℃로 예열된 오븐에서 20분 가량 구워준다. ⑧ 실온의 말랑말랑한 버터를 섞어주고 여기에 크림치즈를 넣어 섞어준다. ⑨ 슈가파우더를 넣고 휘핑해준다. 반을 덜어서 녹차가루를 넣어 녹차크림치즈를 만들어준다. ⑩ 컵케이크 위에 크림치즈 프로스팅을 올려준다.",,2022-10-30
녹차 초콜릿 타르트,"구운 3호 타르트지 1개, 생크림 100g, 화이트 커버처 초콜릿 180g, 물엿 10g, 녹차가루 10g, 버터 30g",,"① 작은 냄비에 생크림, 물엿을 넣고 중불에 끓여준다. 가장자리가 살짝 끓어 오르면 불을 꺼준다. ② 화이트 커버처 초콜릿을 넣어준다. ③ 주걱으로 저어 녹여준다. (초콜릿에 물이 들어가지 않도록 주의한다.) ④ 체 친 녹차가루를 넣어준다. 재빠르게 거품기로 저어준다. ⑤ 버터를 넣고 저어주며 녹여준다. (잘 녹지 않으면 가스레인지 불에 살짝 데워 녹여준다.) ⑥ 녹차 초콜릿 필링을 완성하면 준비해 둔 타르트지에 부어주고 냉장고에 4~5시간 굳혀준다. ⑦ 준비한 피스타치오를 적당한 크기로 다져준다. ⑧ 냉장고에서 꺼낸 타르트 윗면에 피스타치오를 올려준다.",피스타치오를 굳히기 전에 올려주면 떨어지지 않는다.,2022-10-30
녹차 치즈 타르트,"다이제스티브 과자 60g, 버터 15g, 크림치즈 150g, 생크림 60g, 달걀 1개, 레몬즙 1작은술, 박력분 1큰술",설탕 45g,"① 크림치즈와 버터, 달걀은 실온에 꺼내 두어 차갑지 않은 상태로 만들어준다. ② 다이제스티브 과자를 곱게 가루로 만들어준다. 녹인 버터를 넣고 잘 섞은 후 유산지를 깐 틀에 넣어준다. ③ 숟가락을 이용해서 꾹꾹 눌러 평평하게 만든 후 냉장고에서 굳혀준다. ④ 볼에 크림치즈를 담고 핸드믹서로 1단에서 부드럽게 풀어준다. ⑤ 설탕을 넣고 핸드믹서로 잘 섞어준다. ⑥ 달걀을 넣고 핸드믹서로 부드러운 상태가 될 때까지 믹싱해준다. ⑦ 레몬즙과 박력분, 가루녹차를 넣고 잘 섞어준다. ⑧ 다른 볼에 생크림을 넣고 부드러운 상태로 휘핑을 해준다. ⑨ 치즈반죽에 생크림을 넣고 잘 섞어준다. ⑩ 틀에 반죽을 담은 후 170℃로 예열된 오븐에서 약 35분 정도 구워준다.",,2022-10-30
녹차 치즈 팥 케이크,"스펀지케이크 1판, 녹차크림(크림치즈 120g, 생크림 120ml, 설탕 40g, 녹차파우더 7g, 젤라틴5g), 치즈크림(크림치즈 120g, 생크림 120ml, 설탕 30g, 젤라틴 5g), 팥크림(팥앙금 170g, 생크림 120g, 젤라틴 5g)","토핑(생크림 200ml, 설탕 15g, 녹차파우더)","① 토핑용 생크림에 설탕을 넣고 믹서로 70% 정도 휘핑해놓는다. ② 치즈크림-크림치즈, 설탕을 중탕하고 생크림과 젤라틴을 섞어준다. ③ 녹차크림-크림치즈, 설탕을 중탕하고 생크림, 녹차파우더, 젤라틴을 섞어준다. ④ 팥크림- 팥앙금, 생크림을 중탕하고 젤라틴을 섞어준다. ⑤ 스펀지케이크를 조각내 그릇에 랩을 깔고 케이크를 깐다. ⑥ ⑤에 치즈크림, 녹차크림, 팥크림의 순서대로 부어 굳혀준다. ⑦ 생크림으로 코팅하고, 녹차파우더를 장식한다.",분량: 4인분 기준 조리시간: 90분 이내,2022-10-30
녹차 카스테라,"박력분 400g, 가루녹차 20g, 계란 12개, 우유 120g","청주 60g, 바닐라익스트랙 4g, 꿀 60g, 소금 2g, 설탕 180g","① 박력분과 녹차가루는 미리 세번 체 쳐준다. ② 계란은 흰자, 노른자를 분리하여 흰자는 냉장고에 넣어두고 노른자는 볼에 넣어 잘 섞어준다. ③ 미리 실온에 두었던 우유를 넣고 섞어준다. ④ 청주나 맛술도 섞어준다. ⑤ 바닐라익스트랙을 넣어준다. ⑥ 꿀과 소금도 넣고 잘 섞어준다. ⑦ 설탕을 수차례 나누어 넣어가며 머랭을 쳐준다. ⑧ 머랭이 다 쳐졌으면 노른자 섞어놓은 볼에 잘 섞일 수 있도록 일부를 덜어서 잘 섞어준 후, 머랭에 모두 부어 섞어준다. ⑨ 가루는 날가루가 보이지 않도록 잘 흩어가며, 바닥까지 긁어 퍼올리며 섞어준다. ⑩ 유산지(테프론시트)를 깔아놓은 팬에 골고루 팬닝한 후 표면을 평평하게 스크래퍼 등으로 정리해준다. ⑪ 오븐에 넣기 직전 바닥에 탕탕 쳐서 기포를 빼주고 미리 180℃로 예열해 둔 오븐에 30분 가량 구워준다. ⑫ 다 구워진 시트는 팬째로 한김 식힌 후 빼준다.",,2022-10-30
녹차 카스테라,"박력분 100g, 달걀 4개, 설탕 90g, 녹차가루 6g, 우유 25g, 꿀 10g, 버터 15g",,"① 핸드믹서로 달걀 흰자를 풀어준다. ② 설탕을 조금씩 넣고 휘핑한 다음 머랭이 단단하게 올라오면 저속에서 1분간 돌려 조밀한 머랭을 만들어준다. ③ 달걀 노른자를 넣고 저속에서 1분간 휘핑해준다. ④ 체에 내린 박력분, 녹차가루를 넣고 가볍게 잘 섞어준다. ⑤ 볼에 버터, 꿀, 우유를 담고 전자레인지에서 30초간 데워 반죽을 한 주걱 크게 떠서 반죽이 완전히 풀어질 때까지 섞어준다. ⑥ 나무틀 옆면에 유산지를 두르고 반죽을 부은 다음, 나무젓가락으로 반죽을 저어 기포를 빼주고 170℃로 예열한 오븐에서 15분간 굽고, 온도를 160℃로 내려 25분 더 구워준다.",,2022-10-30
녹차 컵케이크,"컵케이크재료(버터 120g, 설탕 170g, 소금 2g, 계란 2개, 박력분 180g, 베이킹파우더 6g, 녹차가루 7g, 우유 125g, 팥앙금 135g), 녹차크림치즈프로스팅(크림치즈 200g, 버터 80g, 슈가파우더 200g, 녹차가루 1작은술)",,"① 버터, 계란, 우유는 실온에 미리 꺼내둔다. 머핀팬에 유산지컵을 끼워준다. 팥앙금은 15g씩 분할해 동그랗게 만들어준다. 박력분, 베이킹파우도, 녹차가루는 체 쳐준다. 오븐은 180℃로 예열해준다. ② 실온에 둔 버터를 부드럽게 풀고 소금, 설탕을 2회 나눠 넣어 충분히 섞어준다. ③ 체 친 박력분, 베이킹파우더, 녹차가루를 ⅓ 넣어 섞고, 우유 ½ 넣어 섞고, 가루 ⅓-우유 ⅓-가루 ⅓ 순으로 넣어 섞어준다. ④ 완성된 반줄을 짤주머니에 담아 바닥에 1~2cm 높이로 채우고 팥앙금을 넣고 다시 반죽을 70%까지 채워준다. ⑤ 180℃로 예열한 오븐에 25~30분 정도 구워 틀에서 한김 식힌 후 꺼내어 충분히 식혀준다. ⑥ 녹차 크림치즈 프로스팅: 실온상태의 크림치즈와 버터를 풀어주고 슈가파우더를 조금씩 나눠 넣고 섞어준다. 녹차가루를 넣어 섞어준다. ⑦ 완성된 크림을 컵케이크 위에 스페츌러를 이용해 올려준다.",,2022-10-30
녹차 콩배기 식빵,"강력분 250g, 우유 100g, 달걀 1개, 소금 3g, 설탕 20g, 무염버터 30g, 드라이이스트 5g, 녹차가루 8g, 콩배기150g",,"① 반죽기에 체에 친 강력분, 설탕, 소금, 녹차가루, 드라이이스트를 제빵기 틀에 넣어준다. 이때 소금과 설탕이 드라이이스트에 닿지 않게 해준다. ② 따뜻한 상태의 우유와 달걀을 넣고 반죽해준다. ③ 반죽이 한덩어리가 되면 실온상태의 버터를 넣어 다시 반죽하고 1차 발효를 시켜준다. ④ 손으로 눌러 보았을 때 형태의 변화가 없으면 발효가 된 것이다. ⑤ 반죽을 똑같은 무게로 3등분 해준다. ⑥ 양손으로 동글리기를 하여 가스를 빼준 후 비닐 랩을 덮어 10분 정도 중간 발효를 해준다. ⑦ 반죽을 밀대로 길게 민 후 콩배기를 올리고, 양쪽 끝을 접은 후 돌돌 말아준다. 끝이 풀리지 않도록 손으로 꼬집어준다. ⑧ 봉합한 부분이 아래로 가게 하고 일정한 간격으로 식빵 틀에 담아준다. ⑨ 면보나 랩을 씌운 후 따뜻한 곳에서 40~50분 정도 2차 발효를 해준다. 2배 정도 부풀면 된다. ⑩ 180℃로 예열한 오븐에서 약 19~20분 정도 구워준다.",,2022-10-30
녹차 쿠키,"밀가루 중력분 180g, 밀가루 박력분 220g, 말차가루 28g, 베이킹파우더 10g, 버터 220g, 갈색설탕 180g, 물엿 20g, 소금 1꼬집, 계란 110g","화이트 또는 다크초콜릿 청크 60g, 견과류 60g","① 중력분, 박력분, 말차가루, 베이킹파우더는 한 데 섞은 뒤 체에 한번 내려준다. ② 계란은 미리 풀지 않아도 상관없지만 실온에 미리 꺼내준다. ③ 버터도 실온에 꺼내두어 부드럽게 풀어준다. ④ 초콜릿과 견과류는 한 데 계량해두고 호두나 캐슈넛 사용 시 반으로 잘라서 사용해준다. ⑤ 버터에 설탕, 소금을 넣고 아이보리색이 날 때까지 풀어준다. ⑥ 계란을 조금씩 넣어가며 믹싱해 설탕이 다 녹을 때까지 풀어준다.(계란을 한번에 다 넣으면 분리되니 조금씩 넣어가며 잘 섞이도록 해준다.) ⑦ 계란이 잘 섞이고 반죽이 부드러워지면 가루재료를 넣어준다. ⑧ 체 친 가루를 반죽에 모두 넣고 자르듯이 섞어준다. ⑨ 초콜릿과 견과류를 넣고 가볍게 섞은 뒤 비닐을 덮어 냉장고에 한시간 정도 휴지시켜준다. ⑩ 한시간 뒤 꺼낸 반죽은 크게 만들기 위해서는 85g 정도, 조금 작게 만들기 위해서는 40g 정도로 분할해준다. ⑪ 분할한 반죽은 대강 한덩어리로 둥굴려 둔다. ⑫ 팬에 반죽을 올리고 살짝 눌러 둥굴넙쩍한 형태를 만들며 팬닝해준다. ⑬ 오븐은 150℃로 15~16분을 구워준다.",,2022-10-30
녹차 크랙쿠키,"박력분 90g, 계란 1개, 버터 또는 식용유 50g, 녹차가루 20g, 베이킹파우더 3g, 설탕 50g","설탕 약간, 슈가파우더","① 버터 또는 식용유에 설탕 50g을 넣고 잘 섞이게 부드럽게 풀어준다. ② 계란을 넣고 섞어준다. ③ 박력분, 베이킹파우더, 녹차가루를 모두 넣고 체로 쳐서 ②번에 넣고 잘 섞어준다. ④ 반죽을 20g씩 분할해준다. ⑤ 설탕, 슈가파우더를 묻혀준다. ⑥ 170℃의 오븐에서 15분 정도 구워준다.",분량: 6인분 이상(쿠키20g짜리 10~13개 분량) 조리시간: 30분 이내 요리팁: 슈가파우더 묻히기 전에 설탕을 묻혀주면 구울 때 슈가파우더가 녹는걸 방지할 수 있다.,2022-10-30
녹차 크랜베리 구운 도너츠,"우리밀 중력분 120g, 말차가루 1ts, 베이킹파우더 2g, 달걀 1개, 비정제황설탕 50g, 꿀 30g, 소금 1꼬집, 우유 60cc, 녹인버터 35g, 건조크랜베리 40g",장식용 화이트커버처 적당량,"① 달걀을 볼에 넣어서 멍울 없이 풀어준 다음, 설탕, 꿀, 소금을 넣어서 휘핑해준다. (노란 반죽이 아이보리색이 되고, 풍성하게 거품이 날 때까지 휘핑해준다.) ② 여기에 우유를 넣어가며 고루 잘 섞어주고, 체에 내린 가루류를 넣어서 거품기로 섞어준다. ③ 반죽이 매끈하게 섞이면 녹인 버터에 반죽을 한국자 정도 덜어넣고 섞어준다. ④ 버터와 반죽 섞은 것을 본반죽에 넣어서 고무주걱을 이용해 고루 섞어준다. ⑤ 건조크랜베리를 넣어 가볍게 섞은 다음, 반죽을 짤주머니에 넣어서 준비해준다. ⑥ 달군 도넛메이커에 식용유를 발라주고, 반죽을 짜 넣어 뚜껑을 덮고 7분 정도 구워준다. ⑦ 일반 도넛틀에 굽는 경우 190℃ 오븐에 넣어 12~13분 정도 구워준다. ⑧ 구워낸 도넛은 식힘망에 얹어서 식혀준다. ⑨ 화이트초콜릿을 중탕으로 녹여서 도넛 위에 얹어준다.",,2022-10-30
녹차 크렌베리 사브레,"버터 80g, 슈가파우더 70g, 계란노른자(큰사이즈) 1개, 물 1T, 박력분 150g, 녹차가루 3g, 설탕 적당량","쿠키에 발라줄 계란흰자 조금, 크렌베리 ½컵","① 실온에 보관한 말랑말랑한 버터에 슈가파우더를 넣어 휘핑해준다. ② 계란 노른자를 넣고 고속 휘핑하고 뽀얗게 크림화가 되면 녹차가루와 박력분을 함께 섞어 두번 이상 체에 쳐서 넣고, 물도 한큰술 넣고 주걱으로 가볍게 섞어준 후 크렌베리를 넣어 섞어준다. ③ 종이호일이나 비닐에 반죽을 싸서 다 쓴 랩심에 넣고 냉동실에 한시간 이상 얼려둔다. ④ 얼려둔 반죽 표면에 계란 흰자를 발라주고 설탕을 묻혀준 후 칼로 0.7~0.8mm 두께로 잘라준다. ⑤ 종이호일을 깔아둔 베이킹팬에 간격을 두고 올려준 후 180℃ 오븐에서 15분간 구워준다. ⑥ 쿠키는 구운 후 식힘망에 올려 식혀준다.",6인분 기준 120분 이내 완성,2022-10-30
녹차 크림치즈 단팥 카나페,"크림치즈 100g, 녹차가루 4g, 설탕 1ts, 단팥앙금","비스킷 1개, 칵테일새우","① 크림치즈에 녹차가루와 설탕을 넣고 잘 섞어준다.  ② 잘 섞인 크림치즈는 일회용 비닐에 담고, 비닐 끝부분을 살짝 잘라준다. ③ 칵테일새우는 끓는 물에 살짝 데쳐준다. ④ 해태 아이비 비스킷 위에 녹차크림치즈스프레드를 짜준다. 원하는 모양이 있으면 만들어준다. ⑤ 녹차크림치즈 위에 단팥을 올려준다. ⑥ 데친 칵테일새우를 올려준다. ",,2022-10-30
